id,client_service_id,period,stage,done_by,done_at,billed_at,paid_at,notes
b1ddae26-7515-4b04-aa46-2da798bb54ac,ec5c1110-8cfd-4a2b-97d4-7de769bd5e4e,2026-07,in_progress,,,,,
b1872d7e-6330-484e-9974-57bc3e876953,ec5c1110-8cfd-4a2b-97d4-7de769bd5e4e,2026-06,waiting_client,,,,,
a852f05a-1e52-46b0-a887-32ea7c597249,58a12500-d1b0-4ccf-8c79-111633b14313,2026-06,not_started,,,,,
ac005c7c-6f63-492c-8955-300581eed696,47707237-cd10-4f6c-9c29-f863e7d2cc83,2026-01,done,,2026-07-06 20:47:48.944000+00:00,,,
74c83ac4-bdbe-44c1-a105-2486990593b6,47707237-cd10-4f6c-9c29-f863e7d2cc83,2026-02,done,,2026-07-06 20:47:50.752000+00:00,,,
b25cba69-102f-4d1f-b3b0-f23a0e75087d,47707237-cd10-4f6c-9c29-f863e7d2cc83,2026-03,done,,2026-07-06 20:47:52.963000+00:00,,,
f21cd3a1-abf3-4d02-aa35-20095dd22ee6,47707237-cd10-4f6c-9c29-f863e7d2cc83,2026-04,done,,2026-07-06 20:47:54.622000+00:00,,,
aee6b9af-b6f3-49b3-b7b6-9e845994358d,47707237-cd10-4f6c-9c29-f863e7d2cc83,2026-05,done,,2026-07-06 20:47:56.774000+00:00,,,
f65c9e4e-f8f4-40ae-98b1-c8fd7c5ccabc,47707237-cd10-4f6c-9c29-f863e7d2cc83,2026-06,done,,2026-07-06 20:47:59.061000+00:00,,,
e9ae8915-9f18-4bcf-a6df-991f7ad8582e,727186b0-a05c-4044-9109-35241097b94f,2026-01,done,,2026-07-06 20:53:13.020000+00:00,,,
fe9017c6-9dfc-49a9-96a6-c3b64c248c78,727186b0-a05c-4044-9109-35241097b94f,2026-02,done,,2026-07-06 20:53:14.064000+00:00,,,
7068a837-755e-4a88-8d35-e0e574c1eed9,727186b0-a05c-4044-9109-35241097b94f,2026-03,done,,2026-07-06 20:53:15.586000+00:00,,,
ae02ef17-3f9e-495c-a299-88a0c55cdfa1,727186b0-a05c-4044-9109-35241097b94f,2026-04,done,,2026-07-06 20:53:17.187000+00:00,,,
afbbc8b7-28bc-4e40-8001-6150beb8107d,727186b0-a05c-4044-9109-35241097b94f,2026-05,done,,2026-07-06 20:53:19.420000+00:00,,,
9126247b-617a-4455-9078-9505712787c3,727186b0-a05c-4044-9109-35241097b94f,2026-06,done,,2026-07-06 20:53:21.807000+00:00,,,
aef51bce-4f67-4356-a436-5b725700d8a2,ec05cc2d-0756-41d0-b9ab-8be9b3ea9ce5,2026-01,done,,2026-07-06 20:54:51.975000+00:00,,,
e37dc9a9-e5bc-43e5-8e1c-0fa138400e30,ec05cc2d-0756-41d0-b9ab-8be9b3ea9ce5,2026-02,done,,2026-07-06 20:54:53.827000+00:00,,,
ddb7a8be-9ced-478d-af52-93d8278da329,ec05cc2d-0756-41d0-b9ab-8be9b3ea9ce5,2026-03,done,,2026-07-06 20:54:55.509000+00:00,,,
1f867b69-dd1d-4848-86a8-1a4f60180b05,ec05cc2d-0756-41d0-b9ab-8be9b3ea9ce5,2026-04,done,,2026-07-06 20:54:57.405000+00:00,,,
6730449b-0e04-43b2-9096-f85e9380d301,ec05cc2d-0756-41d0-b9ab-8be9b3ea9ce5,2026-05,done,,2026-07-06 20:54:59.021000+00:00,,,
