source,client_id,name,reason
payroll,,DEPOSIT ONLY,none
payroll,,MPBL Inc- Reporting only -Tushar prepares PR reports at client office,none
payroll,,REPORTING ONLY,none
payroll,,RPBS Group - Reporting only - login through Right Networks,none
payroll,198,Credent Trading Inc,none
payroll,765,Siberian International Inc,none
payroll,819,Success Point International Inc,none
sales_tax,,FF & E Solutions LLC  Connecticut https://drs.ct.gov/eservices/_/,none
sales_tax,,Fast & Best Auto llc  (Atousa) NO MORE,none
sales_tax,,Kalcorp Enterprises Inc -Georgia State,none
sales_tax,,Trinity Namaste LLC -,none
sales_tax,,MALIK GROUP OF COMPINES,none
sales_tax,,"MG2 Enterprise-ONE STOP DAYTON N'land,",none
sales_tax,,Lodger's Occupancy Tax  paid by client. Send By the 10th,none
sales_tax,,Gross Receipt Tax (State Tax) Send by the 10th.,none
sales_tax,,RPBS-GROUP Quarterly,none
sales_tax,,RPBS-GROUP-MICHIGAN,none
sales_tax,867,"Tunnel Overseas, Inc.  MI",none
sales_tax,,RPBS-GROUP-Colorado,none
sales_tax,821,SUMMIT INTERNATIONAL INC,none
sales_tax,,Quarterly,none
sales_tax,,Bens 2025 LLC Vipandeep Group,none
sales_tax,,MPBL,none
sales_tax,,Print 409 LLC  Vipandeep Group,none
sales_tax,,Texub Inc - Florida  Florida Dept of Revenue - floridarevenue.com,none
sales_tax,,Yearly,none
sales_tax,,Maxbox Supplies - Texas - Paid TEXNET-PW-M@x*1234-from 01012018,none
sales_tax,,Maxbox Supplies - Louisiana,none
sales_tax,,Maxbox Supplies - Parish,none
sales_tax,,Kalcorp Enterprises Inc   No More,none
